Year,Band,Site,Sex,Type,FamilyID,Tissue,Seq.ID,Nest,Brood,clutch_id
2021,2811-83043,Make Believe,,kid,MakeBelieve-20,blood,CO-83043,73,2,Make Believe_73_2
2021,E05,Make Believe,,egg,MakeBelieve-26,egg,CO-E05,NA,collected,MakeBelieve-26_egg
2021,E06,Make Believe,,egg,MakeBelieve-26,egg,CO-E06,NA,collected,MakeBelieve-26_egg
2021,E07,Make Believe,,egg,MakeBelieve-26,egg,CO-E07,NA,collected,MakeBelieve-26_egg
2021,E08,Make Believe,,egg,MakeBelieve-26,egg,CO-E08,NA,collected,MakeBelieve-26_egg
2021,E09,Make Believe,,egg,MakeBelieve-26,egg,CO-E09,NA,collected,MakeBelieve-26_egg
2021,E20,Make Believe,,egg,MakeBelieve-69,egg,CO-E20,NA,collected,MakeBelieve-69_egg
2021,E21,Make Believe,,egg,MakeBelieve-69,egg,CO-E21,NA,collected,MakeBelieve-69_egg
2021,E22,Make Believe,,egg,MakeBelieve-69,egg,CO-E22,NA,collected,MakeBelieve-69_egg
2021,E23,Make Believe,,egg,MakeBelieve-69,egg,CO-E23,NA,collected,MakeBelieve-69_egg
2021,E24,Make Believe,,egg,MakeBelieve-69,egg,CO-E24,NA,collected,MakeBelieve-69_egg
2021,2811-82984,Cathy's,,kid,Cathys-03,blood,CO-82984,1,1,Mary Ann's_1_2
2021,2811-82985,Cathy's,,kid,Cathys-03,blood,CO-82985,1,1,Mary Ann's_1_2
2021,2811-82986,Cathy's,,kid,Cathys-03,blood,CO-82986,1,1,Mary Ann's_1_2
2021,2811-82987,Cathy's,,kid,Cathys-03,blood,CO-82987,1,1,Mary Ann's_1_2
2021,2850-57612,Blue Cloud,F,mom,BlueCloud-09,blood,CO-57612,NA,NA,NA
2021,2850-57901,Blue Cloud,M,dad,BlueCloud-09,blood,CO-57901,NA,NA,NA
2021,2850-57610,Blue Cloud,F,mom,BlueCloud-14,blood,CO-57610,NA,NA,NA
2021,2850-57614,Blue Cloud,M,dad,BlueCloud-14,blood,CO-57614,NA,NA,NA
2021,2640-97548,Blue Cloud,M,dad,BlueCloud-18,blood,CO-97548,NA,NA,NA
2021,2850-57565,Blue Cloud,M,dad,BlueCloud-19,blood,CO-57565,NA,NA,NA
2021,2850-57599,Cathy's,M,dad,Cathys-02,blood,CO-57599,NA,NA,NA
2021,2850-57549,Cathy's,M,dad,Cathys-03,blood,CO-57549,NA,NA,NA
2021,2850-57550,Cathy's,F,mom,Cathys-03,blood,CO-57550,NA,NA,NA
2021,2850-57602,Cooks,M,dad,Cooks-18,blood,CO-57602,NA,NA,NA
2021,2640-97370,Cooks,F,mom,Cooks-23,blood,CO-97370,NA,NA,NA
2021,2850-57505,Cooks,M,dad,Cooks-23,blood,CO-57505,NA,NA,NA
2021,2850-57557,Cooks,M,dad,Cooks-24,blood,CO-57557,NA,NA,NA
2021,2850-57609,Cooks,F,mom,Cooks-24,blood,CO-57609,NA,NA,NA
2021,2850-57853,Cooks,F,mom,Cooks-27,blood,CO-57853,NA,NA,NA
2021,2850-57912,Cooks,M,dad,Cooks-27,blood,CO-57912,NA,NA,NA
2021,2850-57558,Cooks,F,mom,Cooks-31,blood,CO-57558,NA,NA,NA
2021,2850-57633,Cooks,M,dad,Cooks-31,blood,CO-57633,NA,NA,NA
2021,2850-57620,Jim's,M,dad,Jims-01,blood,CO-57620,NA,NA,NA
2021,2510-63488,Make Believe,M,dad,MakeBelieve-17,blood,CO-63488,NA,NA,NA
2021,2350-21085,Make Believe,M,dad,MakeBelieve-20,blood,CO-21085,NA,NA,NA
2021,2640-97596,Make Believe,F,mom,MakeBelieve-20,blood,CO-97596,NA,NA,NA
2021,2640-97347,Make Believe,F,mom,MakeBelieve-26,blood,CO-97347,NA,NA,NA
2021,2850-57836,Make Believe,M,dad,MakeBelieve-26,blood,CO-57836,NA,NA,NA
2021,2811-82916,Make Believe,M,dad,MakeBelieve-61,blood,CO-82916,NA,NA,NA
