"clutch_id_ind1","Band_dad","Band_mom","Site_dad","Site_ind1","FamilyID_dad","FamilyID_mom","Brood_ind1","fert","fert_type","clutch_size"
"Hepp (near Cook)_1_1",NA,"2850-57558",NA,"Hepp (near Cook)",NA,"Cooks-31","1",1,"dad_unk",2
"Make Believe_14_1","2640-97548","2640-97385","Blue Cloud","Make Believe","BlueCloud-18","MakeBelieve-69","1",3,"ep_diff",3
"Make Believe_34_1","2850-57518","2640-97347","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-26","1",3,"ep_same",5
"Make Believe_34_1","2850-57836","2640-97347","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-26","1",2,"wp",5
"Make Believe_38_2","2850-57836","2640-97347","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-26","2",3,"wp",3
"Make Believe_70_1","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-20","MakeBelieve-20","1",5,"wp",5
"Make Believe_73_2","2510-63488","2640-97596","Make Believe","Make Believe","MakeBelieve-17","MakeBelieve-20","2",2,"ep_same",3
"Make Believe_73_2","2850-57518","2640-97596","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-20","2",1,"ep_same",3
"MakeBelieve-26_egg","2850-57836","2640-97347","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-26","collected",5,"wp",5
"MakeBelieve-69_egg","2850-57518","2640-97385","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-69","collected",5,"wp",5
"Mary Ann's_1_2","2850-57549","2850-57550","Cathy's","Cathy's","Cathys-03","Cathys-03","1",4,"wp",4
"Reinarz-01_egg","2850-57619","2850-57555","Reinarz","Reinarz","Reinarz-01","Reinarz-01","collected",5,"wp",5
"Schaap's_32_1","2850-57607","2850-57553","Schaaps","Schaaps","Schaaps-108","Schaaps-108","1",2,"wp",3
"Schaap's_32_1","2850-57701","2850-57553","Schaaps","Schaaps","Schaaps-110","Schaaps-108","1",1,"ep_same",3
"Schaap's_33_2","2811-06912","2850-57603","Schaaps","Schaaps","Schaaps-54","Schaaps-54","1",2,"wp",3
"Schaap's_33_2",NA,"2850-57603",NA,"Schaaps",NA,"Schaaps-54","1",1,"dad_unk",3
"Schaap's_59_1","2850-57538","2850-57556","Schaaps","Schaaps","Schaaps-80","Schaaps-80","1",4,"wp",4
"Schaap's_80_2","2850-57538","2850-57556","Schaaps","Schaaps","Schaaps-80","Schaaps-80","2",1,"wp",3
"Schaap's_80_2",NA,"2850-57556",NA,"Schaaps",NA,"Schaaps-80","2",2,"dad_unk",3
"Schaap's_97_2","2850-57607","2850-57553","Schaaps","Schaaps","Schaaps-108","Schaaps-108","2",3,"wp",4
"Schaap's_97_2",NA,"2850-57553",NA,"Schaaps",NA,"Schaaps-108","2",1,"dad_unk",4
"Schaaps-108_egg","2850-57607","2850-57553","Schaaps","Schaaps","Schaaps-108","Schaaps-108","collected",5,"wp",5
"Schaaps-54_egg",NA,"2850-57603",NA,"Schaaps",NA,"Schaaps-54","collected",4,"dad_unk",4
"Schaaps-80_egg","2850-57701","2850-57556","Schaaps","Schaaps","Schaaps-110","Schaaps-80","collected",5,"ep_same",5
"Struther's_10_2","2850-57552","2850-57551","Struthers","Struthers","Struthers-20","Struthers-20","2",4,"wp",4
"Struther's_20_1","2640-97548","2850-57551","Blue Cloud","Struthers","BlueCloud-18","Struthers-20","1",2,"ep_diff",4
