"","Ind1","genetic_fam","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","SeqID_mom","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","SeqID_dad","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad"
"30","CO_82982","2850-57614_2850-57610","2811-82982","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2","CO_57610",0.406,0.394,0.201,0.398,43421,"2850-57610","Blue Cloud","mom","BlueCloud-14","CO_57614",0.375,0.485,0.14,0.383,56787,"2850-57614","Blue Cloud","dad","BlueCloud-14"
"31","CO_82983","2850-57614_2850-57610","2811-82983","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2","CO_57610",0.4,0.43,0.169,0.384,44360,"2850-57610","Blue Cloud","mom","BlueCloud-14","CO_57614",0.336,0.533,0.131,0.398,57980,"2850-57614","Blue Cloud","dad","BlueCloud-14"
"32","CO_82984","2850-57549_2850-57550","2811-82984","Cathy's","kid","Cathys-03",1,"1","Mary Ann's_1_2","CO_57550",0.356,0.484,0.161,0.402,47859,"2850-57550","Cathy's","mom","Cathys-03","CO_57549",0.358,0.48,0.162,0.402,49947,"2850-57549","Cathy's","dad","Cathys-03"
"33","CO_82985","2850-57549_2850-57550","2811-82985","Cathy's","kid","Cathys-03",1,"1","Mary Ann's_1_2","CO_57550",0.348,0.496,0.155,0.404,54197,"2850-57550","Cathy's","mom","Cathys-03","CO_57549",0.321,0.55,0.129,0.404,56605,"2850-57549","Cathy's","dad","Cathys-03"
"34","CO_82986","2850-57549_2850-57550","2811-82986","Cathy's","kid","Cathys-03",1,"1","Mary Ann's_1_2","CO_57550",0.352,0.475,0.173,0.41,51520,"2850-57550","Cathy's","mom","Cathys-03","CO_57549",0.346,0.504,0.15,0.402,53846,"2850-57549","Cathy's","dad","Cathys-03"
"35","CO_82987","2850-57549_2850-57550","2811-82987","Cathy's","kid","Cathys-03",1,"1","Mary Ann's_1_2","CO_57550",0.355,0.5,0.145,0.395,51168,"2850-57550","Cathy's","mom","Cathys-03","CO_57549",0.336,0.516,0.148,0.406,53391,"2850-57549","Cathy's","dad","Cathys-03"
"36","CO_82988","2811-06912_2850-57603","2811-82988","Schaaps","kid","Schaaps-54",33,"1","Schaap's_33_2","CO_57603",0.297,0.576,0.128,0.416,56077,"2850-57603","Schaaps","mom","Schaaps-54","CO_06912",0.305,0.566,0.129,0.412,57009,"2811-06912","Schaaps","dad","Schaaps-54"
"37","CO_82989","NA_2850-57603","2811-82989","Schaaps","kid","Schaaps-54",33,"1","Schaap's_33_2","CO_57603",0.383,0.432,0.185,0.401,53457,"2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","CO_82990","2811-06912_2850-57603","2811-82990","Schaaps","kid","Schaaps-54",33,"1","Schaap's_33_2","CO_57603",0.296,0.582,0.122,0.413,61595,"2850-57603","Schaaps","mom","Schaaps-54","CO_06912",0.265,0.636,0.098,0.416,62893,"2811-06912","Schaaps","dad","Schaaps-54"
"39","CO_83018","2850-57505_2640-97370","2811-83018","Cooks","kid","Cooks-23",32,"2","Cook's_32_2","CO_97370",0.349,0.547,0.103,0.377,56259,"2640-97370","Cooks","mom","Cooks-23","CO_57505",0.353,0.514,0.133,0.39,54587,"2850-57505","Cooks","dad","Cooks-23"
